DATE,California,Texas,New York,Florida,Illinois,USA
2000,12.7,14.6,13.2,11.7,10,11.3
2001,12.9,15,13.7,12.6,10.1,11.7
2002,13.3,15.4,13.9,12.8,11.3,12.1
2003,13.7,16.2,14.3,13,11.4,12.5
2004,13.2,16.2,14.5,11.9,11.9,12.7
2005,13.3,17.5,13.9,12.8,12,13.3
2006,13.1,16.9,14.2,12.6,12.3,13.3
2007,12.4,16.3,13.8,12.1,11.9,13
2008,13.3,15.8,13.7,13.3,12.2,13.2
2009,14.2,17.1,14.2,15,13.3,14.3
2010,15.8,17.9,15,16.5,13.8,15.3
2011,16.6,18.5,16.1,17,14.9,15.9
2012,17,17.9,15.9,17.2,14.7,15.9
2013,16.8,17.5,16,17.1,14.6,15.8
2014,16.4,17.2,16,16.6,14.3,15.5
2015,15.4,15.9,15.5,15.8,13.6,14.7
2016,14.4,15.6,14.8,14.8,13,14
2017,13.3,14.7,14.1,14.1,12.5,13.4
2018,12.8,14.9,13.7,13.7,12.1,13.1
2019,11.8,13.6,13.1,12.7,11.4,12.3
2020,11.5,13.4,12.7,12.4,11,11.9